!12/12/2020.7:22:22.PM,,,
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2,,,
!AVERAGING.OFF,,,
!IF.BANDWIDTH: 1KHZ,,,
!NUMBER.OF.TRACES: 1,,,
!TRACE:       ,TRACE.1           ,,
!PARAMETER:   ,S21               ,,
!GRAPH:       ,REAL.IMAG         ,,
!SMOOTHING:   ,OFF               ,,
!TIMEDOMAIN:  ,NOT.INSTALLED     ,,
!SWEEPTYPE: FREQ.SWEEP(Linear),,,
PNT,FREQ1.GHZ,REAL1,IMAG1
1,2,-2.27E-02,-9.31E-03
2,2.06,-4.33E-02,-2.31E-02
3,2.12,-4.56E-02,-1.44E-04
4,2.18,-3.16E-02,-7.90E-03
5,2.24,-4.97E-02,-4.28E-03
6,2.3,-4.60E-02,-6.68E-05
7,2.36,-5.30E-02,8.08E-03
8,2.42,-5.36E-02,1.49E-02
9,2.48,-5.31E-02,2.43E-02
10,2.54,-5.37E-02,4.15E-02
11,2.6,-4.57E-02,4.82E-02
12,2.66,-3.01E-02,6.10E-02
13,2.72,-2.48E-02,6.04E-02
14,2.78,-9.59E-03,6.54E-02
15,2.84,-9.86E-04,6.46E-02
16,2.9,1.47E-02,6.55E-02
17,2.96,2.42E-02,6.24E-02
18,3.02,3.52E-02,4.55E-02
19,3.08,4.56E-02,3.79E-02
20,3.14,4.04E-02,3.11E-02
21,3.2,4.44E-02,1.58E-02
22,3.26,4.79E-02,1.31E-02
23,3.32,4.50E-02,5.55E-03
24,3.38,4.28E-02,-7.71E-03
25,3.44,3.59E-02,-1.22E-02
26,3.5,3.09E-02,-1.61E-02
27,3.56,2.52E-02,-1.87E-02
28,3.62,1.96E-02,-2.04E-02
29,3.68,1.58E-02,-1.93E-02
30,3.74,1.04E-02,-2.00E-02
31,3.8,6.71E-03,-1.90E-02
32,3.86,2.93E-03,-1.80E-02
33,3.92,-3.18E-03,-1.31E-02
34,3.98,-1.58E-03,-1.03E-02
35,4.04,-1.51E-03,-8.53E-03
36,4.1,-1.64E-20,-4.12E-20
37,4.16,0.00E+00,0.00E+00
38,4.22,0.00E+00,0.00E+00
39,4.28,4.83E-20,1.27E-21
40,4.34,1.43E-20,4.51E-20
41,4.4,0.00E+00,0.00E+00
42,4.46,0.00E+00,0.00E+00
43,4.52,9.92E-21,-7.11E-20
44,4.58,0.00E+00,0.00E+00
45,4.64,0.00E+00,0.00E+00
46,4.7,4.21E-20,-6.31E-20
47,4.76,0.00E+00,0.00E+00
48,4.82,0.00E+00,0.00E+00
49,4.88,1.29E-03,-2.43E-02
50,4.94,-1.06E-03,-2.27E-02
51,5,-5.71E-03,-2.18E-02
52,5.06,-9.05E-03,-2.39E-02
53,5.12,-1.27E-02,-2.25E-02
54,5.18,-1.65E-02,-2.00E-02
55,5.24,-1.93E-02,-1.83E-02
56,5.3,-2.26E-02,-1.69E-02
57,5.36,-2.53E-02,-1.32E-02
58,5.42,-2.81E-02,-8.86E-03
59,5.48,-2.97E-02,-5.05E-03
60,5.54,-3.11E-02,-3.90E-04
61,5.6,-3.07E-02,3.62E-03
62,5.66,-3.04E-02,8.87E-03
63,5.72,-3.00E-02,1.42E-02
64,5.78,-2.74E-02,1.94E-02
65,5.84,-2.37E-02,2.37E-02
66,5.9,-1.90E-02,2.54E-02
67,5.96,-1.38E-02,2.99E-02
68,6.02,-1.07E-02,3.12E-02
69,6.08,-5.40E-03,2.97E-02
70,6.14,1.51E-04,3.08E-02
71,6.2,3.18E-03,3.13E-02
72,6.26,9.20E-03,3.08E-02
73,6.32,1.18E-02,2.85E-02
74,6.38,1.79E-02,2.36E-02
75,6.44,2.52E-02,2.36E-02
76,6.5,2.24E-02,1.78E-02
77,6.56,2.81E-02,7.91E-03
78,6.62,2.98E-02,3.79E-03
79,6.68,2.43E-02,-1.06E-03
80,6.74,2.15E-02,-5.00E-03
81,6.8,1.84E-02,-8.84E-03
82,6.86,1.69E-02,-1.02E-02
83,6.92,1.36E-02,-9.58E-03
84,6.98,8.95E-03,-1.21E-02
85,7.04,8.48E-03,-1.21E-02
86,7.1,6.59E-03,-1.10E-02
87,7.16,-5.79E-20,-8.77E-20
88,7.22,5.02E-20,-7.38E-20
89,7.28,7.70E-20,1.57E-20
90,7.34,0.00E+00,0.00E+00
91,7.4,0.00E+00,0.00E+00
92,7.46,-4.76E-20,-5.06E-20
93,7.52,-6.32E-20,-2.99E-20
94,7.58,0.00E+00,0.00E+00
95,7.64,-7.09E-20,1.27E-20
96,7.7,-6.63E-20,3.85E-20
97,7.76,-4.99E-20,5.77E-20
98,7.82,7.07E-20,2.95E-20
99,7.88,0.00E+00,0.00E+00
100,7.94,0.00E+00,0.00E+00
101,8,7.50E-20,-4.09E-20
102,8.06,4.72E-20,9.56E-21
103,8.12,0.00E+00,0.00E+00
104,8.18,1.75E-20,4.16E-20
105,8.24,0.00E+00,0.00E+00
106,8.3,4.38E-20,2.89E-20
107,8.36,0.00E+00,0.00E+00
108,8.42,5.66E-20,8.22E-22
109,8.48,2.83E-20,-5.30E-20
110,8.54,-3.51E-20,-5.67E-20
111,8.6,5.84E-20,-9.06E-21
112,8.66,0.00E+00,0.00E+00
113,8.72,-5.45E-03,-1.65E-02
114,8.78,-1.04E-02,-1.73E-02
115,8.84,-1.19E-02,-1.42E-02
116,8.9,-1.60E-02,-1.13E-02
117,8.96,-1.67E-02,-1.00E-02
118,9.02,-1.95E-02,-5.21E-03
119,9.08,-1.96E-02,-1.73E-03
120,9.14,-1.72E-02,1.72E-03
121,9.2,-1.99E-02,4.16E-03
122,9.26,-1.52E-02,6.81E-03
123,9.32,-1.42E-02,1.11E-02
124,9.38,-1.37E-02,9.62E-03
125,9.44,-1.03E-02,1.22E-02
126,9.5,-9.93E-03,1.45E-02
127,9.56,-6.26E-03,1.47E-02
128,9.62,-3.61E-03,1.59E-02
129,9.68,-1.60E-03,1.44E-02
130,9.74,6.04E-04,1.53E-02
131,9.8,2.15E-03,1.48E-02
132,9.86,6.26E-03,1.32E-02
133,9.92,6.53E-03,1.28E-02
134,9.98,7.27E-03,1.05E-02
135,10.04,1.03E-02,9.77E-03
136,10.1,1.01E-02,8.90E-03
137,10.16,1.03E-02,4.64E-03
138,10.22,1.10E-02,5.25E-03
139,10.28,1.02E-02,2.67E-03
140,10.34,1.09E-02,1.24E-03
141,10.4,1.05E-02,-4.19E-04
142,10.46,9.59E-03,-1.65E-03
143,10.52,9.38E-03,-2.13E-03
144,10.58,8.59E-03,-3.94E-03
145,10.64,8.18E-03,-4.62E-03
146,10.7,6.11E-03,-5.40E-03
147,10.76,5.25E-03,-5.36E-03
148,10.82,4.43E-20,-3.30E-20
149,10.88,0.00E+00,0.00E+00
150,10.94,0.00E+00,0.00E+00
151,11,0.00E+00,0.00E+00
152,11.06,0.00E+00,0.00E+00
153,11.12,0.00E+00,0.00E+00
154,11.18,0.00E+00,0.00E+00
155,11.24,0.00E+00,0.00E+00
156,11.3,0.00E+00,0.00E+00
157,11.36,0.00E+00,0.00E+00
158,11.42,0.00E+00,0.00E+00
159,11.48,2.09E-20,-5.68E-20
160,11.54,0.00E+00,0.00E+00
161,11.6,0.00E+00,0.00E+00
162,11.66,9.95E-21,-8.25E-20
163,11.72,-6.18E-20,-5.37E-20
164,11.78,-3.24E-20,-6.29E-20
165,11.84,-5.43E-21,-1.04E-19
166,11.9,0.00E+00,0.00E+00
167,11.96,-5.83E-20,-5.64E-20
168,12.02,-7.98E-20,9.68E-21
169,12.08,0.00E+00,0.00E+00
170,12.14,0.00E+00,0.00E+00
171,12.2,-3.26E-20,-7.19E-20
172,12.26,0.00E+00,0.00E+00
173,12.32,0.00E+00,0.00E+00
174,12.38,-8.52E-20,5.54E-20
175,12.44,0.00E+00,0.00E+00
176,12.5,-1.75E-20,5.54E-20
177,12.56,0.00E+00,0.00E+00
178,12.62,-5.48E-20,4.96E-21
179,12.68,-1.73E-20,6.59E-20
180,12.74,0.00E+00,0.00E+00
181,12.8,0.00E+00,0.00E+00
182,12.86,-1.81E-20,6.41E-20
183,12.92,-4.83E-20,4.22E-20
184,12.98,-5.77E-20,8.80E-21
185,13.04,0.00E+00,0.00E+00
186,13.1,-5.72E-20,4.30E-20
187,13.16,-1.74E-21,6.27E-20
188,13.22,0.00E+00,0.00E+00
189,13.28,3.25E-20,8.67E-20
190,13.34,0.00E+00,0.00E+00
191,13.4,-4.62E-20,9.58E-20
192,13.46,0.00E+00,0.00E+00
193,13.52,0.00E+00,0.00E+00
194,13.58,0.00E+00,0.00E+00
195,13.64,0.00E+00,0.00E+00
196,13.7,8.32E-20,-1.26E-19
197,13.76,0.00E+00,0.00E+00
198,13.82,-1.35E-20,8.60E-20
199,13.88,0.00E+00,0.00E+00
200,13.94,0.00E+00,0.00E+00
201,14,7.18E-20,7.77E-21
